site_code,alltime,scale,med,min,max,mu,sd,rsd,q25,q75,n,WCDC,CDC,FS,DS,LFPP,HFPP3,HFPP7,HFPP15,hu_flood_max_date,hu_return_date,hu_flood_duration,hu_ye_med,hu_flood_ratio,hu_hu_max,rf_flood_max_date,rf_return_date,rf_flood_duration,rf_ye_med,rf_flood_ratio,rf_rf_max
TR,all,alltime,5.9465385,0.2831685,3454.6557,49.38275750656814,154.15000961522784,25.92264552146225,0.8495054999999999,26.3346705,1827,903.3939161506602,7.429405478666562,44.88425443169969,0.9523809523809523,0.21893814997263272,0.29447181171319103,0.20087575259989054,0.13683634373289547,2017-08-25,2017-08-28,3,3.964359,58.785714285714285,233.0476755,2018-06-21,2018-06-24,3,5.3802015,184.21052631578948,991.08975
SF,all,alltime,36.5287365,0.2831685,302990.295,417.4151752021397,5068.483743482465,138.75332762967219,23.219817,52.3861725,7945,19536.288754401096,9.478080407452397,69.76831184345501,0.730487060626128,0.24657016991818753,0.15066079295154186,0.07816236626809314,0.03171806167400881,2017-09-09,2017-09-09,0,11.0435715,2.0769230769230766,22.9366485,2018-06-19,2018-06-30,11,29.1663555,2854.3689320388344,83251.53899999999
AR,all,alltime,142.716924,0.2831685,829683.705,964.0237880333392,10420.362658480743,73.01420438742599,93.7287735,231.49024874999998,11323,7995.971214614734,6.978327929246414,38.465007638423124,0.6564205929285295,0.24975713150225207,0.11684182637110306,0.06676675792634461,0.04133180252583238,2017-08-27,2017-09-02,6,98.8258065,27.134670487106014,2681.6056949999997,2018-06-20,2018-07-14,24,114.96641099999998,512.3152709359606,58899.047999999995
MR,all,alltime,368.11905,0.2831685,908970.885,3759.335027705246,22753.80109970737,61.810985059608754,99.675312,870.7431374999999,11323,1828.1157363581062,6.446931500893348,61.289401005116126,0.983201430705845,0.24975713150225207,0.20083016868321116,0.11339750949395036,0.06694338956107039,2017-08-28,2017-10-29,62,144.6991035,857.1428571428571,124027.803,2018-06-22,2018-09-02,72,362.45568,728.1250000000001,263913.042
PD,all,alltime,2.265348,0.2831685,155176.338,143.42912435693546,2159.8672185482646,953.4372725728077,0.2831685,9.3445605,7577,1245347.9096443183,84.99580968721129,409.88417030567683,0.875,0,0.31595618318595753,0.14913554177114954,0.08552197439619902,2017-08-26,2017-11-19,85,0.8495054999999999,27466.666666666668,23333.0844,2018-06-20,2018-06-27,7,1.9821795,11.714285714285714,23.219817
PL,all,alltime,31.714872000000003,0.2831685,286000.185,1415.764724319085,9463.931407651922,298.4067351005522,11.0435715,109.303041,11323,86992.09177557401,45.333448196464836,287.59882842025695,0.9611996819817559,0.2486090258765345,0.26865671641791045,0.1840501633842621,0.13839088580764816,2017-08-26,2017-11-17,83,75.03965249999999,2418.8679245283024,181511.0085,2018-06-21,2018-07-23,32,31.714872000000003,2491.071428571428,79004.0115
GC,all,alltime,58.049542499999994,0.2831685,370950.735,1505.9564299072242,9794.263825054797,168.72249811537787,6.229706999999999,231.77341724999997,11323,21985.354020833183,22.062651240837237,162.270971050832,0.9951219512195122,0.24887397332862315,0.29161882893226176,0.18449174247107658,0.12655656628102094,2017-08-27,2017-11-01,66,74.190147,2297.7099236641225,170467.437,2018-06-21,2018-07-03,12,12.1762455,2095.3488372093025,25513.48185
WM,all,alltime,475.72308,0.2831685,529525.095,4517.970885767884,18133.420321288457,38.117596315252264,124.59414,1670.69415,11323,572.1546383668949,5.872911909177696,54.5503237198352,0.9539707035077405,0.24975713150225207,0.2733374547381436,0.16417910447761194,0.10377108540139539,2017-08-29,2017-09-10,12,472.89139499999993,407.185628742515,192554.58,2018-06-21,2018-06-27,6,540.851835,53.403141361256544,28883.187
EM,all,alltime,24.352490999999997,0.2831685,153194.1585,1239.299087916516,6133.559087691397,251.8657778250035,1.132674,175.56447,8858,34207.77486483452,40.577206519399105,323.9223056328417,0.9883720930232559,0.2484759539399413,0.34974034770828627,0.2527658613682547,0.18232106570331905,2017-08-29,2017-11-05,68,61.4475645,801.8433179723503,49271.319,2018-06-21,2018-06-29,8,80.98619099999999,82.16783216783217,6654.45975
